------------------------------------------------------------
Server listening on UDP port 9999
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.254 port 9999 connected with 10.0.0.1 port 42215
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 92.0000-93.0000 sec  24.4 KBytes   200 Kbits/sec   0.061 ms 0/17 (0%)
[  1] 93.0000-94.0000 sec  24.4 KBytes   200 Kbits/sec   0.048 ms 0/17 (0%)
[  1] 94.0000-95.0000 sec  24.4 KBytes   200 Kbits/sec   0.058 ms 0/17 (0%)
[  1] 95.0000-96.0000 sec  24.4 KBytes   200 Kbits/sec   0.062 ms 0/17 (0%)
[  1] 96.0000-97.0000 sec  24.4 KBytes   200 Kbits/sec   0.059 ms 0/17 (0%)
[  1] 97.0000-98.0000 sec  24.4 KBytes   200 Kbits/sec   0.061 ms 0/17 (0%)
[  1] 98.0000-99.0000 sec  24.4 KBytes   200 Kbits/sec   0.055 ms 0/17 (0%)
[  1] 99.0000-100.0000 sec  24.4 KBytes   200 Kbits/sec   0.090 ms 0/17 (0%)
[  1] 100.0000-101.0000 sec  24.4 KBytes   200 Kbits/sec   0.105 ms 0/17 (0%)
[  1] 101.0000-102.0000 sec  24.4 KBytes   200 Kbits/sec   0.104 ms 0/17 (0%)
[  1] 102.0000-103.0000 sec  24.4 KBytes   200 Kbits/sec   0.069 ms 0/17 (0%)
[  1] 103.0000-104.0000 sec  24.4 KBytes   200 Kbits/sec   0.103 ms 0/17 (0%)
[  1] 104.0000-105.0000 sec  24.4 KBytes   200 Kbits/sec   0.117 ms 0/17 (0%)
[  1] 105.0000-106.0000 sec  24.4 KBytes   200 Kbits/sec   0.088 ms 0/17 (0%)
[  1] 106.0000-107.0000 sec  24.4 KBytes   200 Kbits/sec   0.059 ms 0/17 (0%)
[  1] 107.0000-108.0000 sec  24.4 KBytes   200 Kbits/sec   0.108 ms 0/17 (0%)
[  1] 108.0000-109.0000 sec  24.4 KBytes   200 Kbits/sec   0.090 ms 0/17 (0%)
[  1] 109.0000-110.0000 sec  24.4 KBytes   200 Kbits/sec   0.054 ms 0/17 (0%)
[  1] 110.0000-111.0000 sec  24.4 KBytes   200 Kbits/sec   0.066 ms 0/17 (0%)
[  1] 111.0000-112.0000 sec  24.4 KBytes   200 Kbits/sec   0.071 ms 0/17 (0%)
[  1] 112.0000-113.0000 sec  24.4 KBytes   200 Kbits/sec   0.087 ms 0/17 (0%)
[  1] 113.0000-114.0000 sec  24.4 KBytes   200 Kbits/sec   0.091 ms 0/17 (0%)
[  1] 114.0000-115.0000 sec  24.4 KBytes   200 Kbits/sec   0.076 ms 0/17 (0%)
[  1] 115.0000-116.0000 sec  24.4 KBytes   200 Kbits/sec   0.084 ms 0/17 (0%)
[  1] 116.0000-117.0000 sec  24.4 KBytes   200 Kbits/sec   0.123 ms 0/17 (0%)
[  1] 117.0000-118.0000 sec  24.4 KBytes   200 Kbits/sec   0.102 ms 0/17 (0%)
[  1] 118.0000-119.0000 sec  24.4 KBytes   200 Kbits/sec   0.072 ms 0/17 (0%)
[  1] 119.0000-120.0000 sec  24.4 KBytes   200 Kbits/sec   0.104 ms 0/17 (0%)
[  1] 0.0000-120.0703 sec  2.87 MBytes   200 Kbits/sec   0.042 ms 0/2044 (0%)
